experiment,fri,gsi,adopters,N,avg_of_thresholds,experiment_id,topology
119,0.51,0.0,0,400,0,MD-B,smallworld
120,0.755,0.0,0,400,0,MD-B,smallworld
121,0.7525,0.0,0,400,0,MD-B,smallworld
122,0.555,0.0,0,400,0,MD-B,smallworld
123,0.625,0.0,0,400,0,MD-B,smallworld
124,0.65,0.0,0,400,0,MD-B,smallworld
125,0.57,0.0,0,400,0,MD-B,smallworld
126,0.55,0.0,0,400,0,MD-B,smallworld
127,0.7175,0.0,0,400,0,MD-B,smallworld
128,0.5675,0.0,0,400,0,MD-B,smallworld
129,0.4825,0.0,0,400,0,MD-B,smallworld
130,0.66,0.0,0,400,0,MD-B,smallworld
131,0.565,0.0,0,400,0,MD-B,smallworld
132,0.58,0.0,0,400,0,MD-B,smallworld
133,0.575,0.0,0,400,0,MD-B,smallworld
134,0.525,0.0,0,400,0,MD-B,smallworld
135,0.5,0.0,0,400,0,MD-B,smallworld
136,0.555,0.0,0,400,0,MD-B,smallworld
137,0.5375,0.0,0,400,0,MD-B,smallworld
138,0.49,0.0,0,400,0,MD-B,smallworld
139,0.595,0.0,0,400,0,MD-B,smallworld
140,0.7,0.0,0,400,0,MD-B,smallworld
141,0.575,0.0,0,400,0,MD-B,smallworld
142,0.69,0.0,0,400,0,MD-B,smallworld
143,0.67,0.0,0,400,0,MD-B,smallworld
144,0.615,0.0,0,400,0,MD-B,smallworld
145,0.715,0.0,0,400,0,MD-B,smallworld
146,0.565,0.0,0,400,0,MD-B,smallworld
147,0.695,0.0,0,400,0,MD-B,smallworld
148,0.75,0.0,0,400,0,MD-B,smallworld
149,0.615,0.0,0,400,0,MD-B,smallworld
150,0.6425,0.0,0,400,0,MD-B,smallworld
151,0.5,0.0,0,400,0,MD-B,smallworld
152,0.7375,0.0,0,400,0,MD-B,smallworld
153,0.4525,0.0,0,400,0,MD-B,smallworld
154,0.53,0.0,0,400,0,MD-B,smallworld
155,0.5225,0.0,0,400,0,MD-B,smallworld
156,0.78,0.0,0,400,0,MD-B,smallworld
157,0.5225,0.0,0,400,0,MD-B,smallworld
158,0.6525,0.0,0,400,0,MD-B,smallworld
159,0.6825,0.0,0,400,0,MD-B,smallworld
160,0.6225,0.0,0,400,0,MD-B,smallworld
161,0.59,0.0,0,400,0,MD-B,smallworld
162,0.3625,0.0,0,400,0,MD-B,smallworld
163,0.575,0.0,0,400,0,MD-B,smallworld
164,0.6425,0.0,0,400,0,MD-B,smallworld
165,0.52,0.0,0,400,0,MD-B,smallworld
166,0.655,0.0,0,400,0,MD-B,smallworld
167,0.6475,0.0,0,400,0,MD-B,smallworld
168,0.7025,0.0,0,400,0,MD-B,smallworld
169,0.5975,0.0,0,400,0,MD-B,smallworld
170,0.695,0.0,0,400,0,MD-B,smallworld
171,0.595,0.0,0,400,0,MD-B,smallworld
172,0.67,0.0,0,400,0,MD-B,smallworld
173,0.8425,0.0,0,400,0,MD-B,smallworld
174,0.355,0.0,0,400,0,MD-B,smallworld
175,0.7925,0.0,0,400,0,MD-B,smallworld
176,0.6975,0.0,0,400,0,MD-B,smallworld
177,0.765,0.0,0,400,0,MD-B,smallworld
178,0.5075,0.0,0,400,0,MD-B,smallworld
179,0.585,0.0,0,400,0,MD-B,smallworld
180,0.6625,0.0,0,400,0,MD-B,smallworld
181,0.5525,0.0,0,400,0,MD-B,smallworld
182,0.38,0.0,0,400,0,MD-B,smallworld
183,0.585,0.0,0,400,0,MD-B,smallworld
184,0.5575,0.0,0,400,0,MD-B,smallworld
185,0.4925,0.0,0,400,0,MD-B,smallworld
186,0.775,0.0,0,400,0,MD-B,smallworld
187,0.6575,0.0,0,400,0,MD-B,smallworld
188,0.6475,0.0,0,400,0,MD-B,smallworld
189,0.635,0.0,0,400,0,MD-B,smallworld
190,0.7825,0.0,0,400,0,MD-B,smallworld
191,0.4925,0.0,0,400,0,MD-B,smallworld
192,0.6625,0.0,0,400,0,MD-B,smallworld
193,0.61,0.0,0,400,0,MD-B,smallworld
194,0.4775,0.0,0,400,0,MD-B,smallworld
195,0.4575,0.0,0,400,0,MD-B,smallworld
196,0.6075,0.0,0,400,0,MD-B,smallworld
197,0.6925,0.0,0,400,0,MD-B,smallworld
198,0.65,0.0,0,400,0,MD-B,smallworld
199,0.515,0.0,0,400,0,MD-B,smallworld
200,0.595,0.0,0,400,0,MD-B,smallworld
201,0.5825,0.0,0,400,0,MD-B,smallworld
202,0.675,0.0,0,400,0,MD-B,smallworld
203,0.5875,0.0,0,400,0,MD-B,smallworld
204,0.6025,0.0,0,400,0,MD-B,smallworld
205,0.8,0.0,0,400,0,MD-B,smallworld
206,0.4175,0.0,0,400,0,MD-B,smallworld
207,0.71,0.0,0,400,0,MD-B,smallworld
208,0.815,0.0,0,400,0,MD-B,smallworld
209,0.6425,0.0,0,400,0,MD-B,smallworld
210,0.5325,0.0,0,400,0,MD-B,smallworld
211,0.765,0.0,0,400,0,MD-B,smallworld
212,0.6975,0.0,0,400,0,MD-B,smallworld
213,0.65,0.0,0,400,0,MD-B,smallworld
214,0.5975,0.0,0,400,0,MD-B,smallworld
215,0.73,0.0,0,400,0,MD-B,smallworld
216,0.5325,0.0,0,400,0,MD-B,smallworld
217,0.525,0.0,0,400,0,MD-B,smallworld
218,0.6775,0.0,0,400,0,MD-B,smallworld
219,0.6175,0.0,0,400,0,MD-B,smallworld
220,0.495,0.0,0,400,0,MD-B,smallworld
221,0.7125,0.0,0,400,0,MD-B,smallworld
222,0.6325,0.0,0,400,0,MD-B,smallworld
223,0.68,0.0,0,400,0,MD-B,smallworld
224,0.625,0.0,0,400,0,MD-B,smallworld
225,0.62,0.0,0,400,0,MD-B,smallworld
226,0.5175,0.0,0,400,0,MD-B,smallworld
227,0.6625,0.0,0,400,0,MD-B,smallworld
228,0.6675,0.0,0,400,0,MD-B,smallworld
229,0.6275,0.0,0,400,0,MD-B,smallworld
230,0.505,0.0,0,400,0,MD-B,smallworld
231,0.7425,0.0,0,400,0,MD-B,smallworld
232,0.7,0.0,0,400,0,MD-B,smallworld
233,0.455,0.0,0,400,0,MD-B,smallworld
234,0.7375,0.0,0,400,0,MD-B,smallworld
235,0.5,0.0,0,400,0,MD-B,smallworld
236,0.7,0.0,0,400,0,MD-B,smallworld
237,0.6125,0.0,0,400,0,MD-B,smallworld
238,0.67,0.0,0,400,0,MD-B,smallworld
239,0.8225,0.0,0,400,0,MD-B,smallworld
240,0.8075,0.0,0,400,0,MD-B,smallworld
241,0.5475,0.0,0,400,0,MD-B,smallworld
242,0.5575,0.0,0,400,0,MD-B,smallworld
243,0.615,0.0,0,400,0,MD-B,smallworld
244,0.6925,0.0,0,400,0,MD-B,smallworld
245,0.4875,0.0,0,400,0,MD-B,smallworld
246,0.6725,0.0,0,400,0,MD-B,smallworld
247,0.6925,0.0,0,400,0,MD-B,smallworld
248,0.585,0.0,0,400,0,MD-B,smallworld
249,0.745,0.0,0,400,0,MD-B,smallworld
250,0.6775,0.0,0,400,0,MD-B,smallworld
251,0.47,0.0,0,400,0,MD-B,smallworld
252,0.6075,0.0,0,400,0,MD-B,smallworld
253,0.5525,0.0,0,400,0,MD-B,smallworld
254,0.525,0.0,0,400,0,MD-B,smallworld
255,0.5,0.0,0,400,0,MD-B,smallworld
256,0.43,0.0,0,400,0,MD-B,smallworld
257,0.5375,0.0,0,400,0,MD-B,smallworld
258,0.6725,0.0,0,400,0,MD-B,smallworld
259,0.5225,0.0,0,400,0,MD-B,smallworld
260,0.5375,0.0,0,400,0,MD-B,smallworld
261,0.5975,0.0,0,400,0,MD-B,smallworld
262,0.66,0.0,0,400,0,MD-B,smallworld
263,0.7725,0.0,0,400,0,MD-B,smallworld
264,0.5475,0.0,0,400,0,MD-B,smallworld
265,0.68,0.0,0,400,0,MD-B,smallworld
266,0.6725,0.0,0,400,0,MD-B,smallworld
267,0.535,0.0,0,400,0,MD-B,smallworld
268,0.765,0.0,0,400,0,MD-B,smallworld
269,0.5225,0.0,0,400,0,MD-B,smallworld
270,0.7,0.0,0,400,0,MD-B,smallworld
271,0.72,0.0,0,400,0,MD-B,smallworld
272,0.5,0.0,0,400,0,MD-B,smallworld
273,0.71,0.0,0,400,0,MD-B,smallworld
274,0.53,0.0,0,400,0,MD-B,smallworld
275,0.59,0.0,0,400,0,MD-B,smallworld
276,0.6325,0.0,0,400,0,MD-B,smallworld
277,0.62,0.0,0,400,0,MD-B,smallworld
278,0.6325,0.0,0,400,0,MD-B,smallworld
279,0.6475,0.0,0,400,0,MD-B,smallworld
280,0.5325,0.0,0,400,0,MD-B,smallworld
281,0.7275,0.0,0,400,0,MD-B,smallworld
